iteracion,promedio,maximo,minimo,medianta
1,6.194689976837253e-06,0.0001380200001221965,2.873999619623646e-06,5.455000064102933e-06
2,5.406969985415344e-06,6.176000169944018e-06,3.1979998311726376e-06,5.416000021796208e-06
3,5.305804997988162e-06,6.410000423784368e-06,3.0829996831016615e-06,5.277000127534848e-06
4,8.1043199998021e-06,0.0002029959996434627,4.663999789045192e-06,5.725999471906107e-06
5,5.7698299965522896e-05,0.00521568399926764,2.6970001272275113e-06,5.627000064123422e-06
6,6.793690004087694e-06,9.670700001152e-05,2.8340000426396728e-06,5.638999937218614e-06
7,0.00396731616501711,0.792045414000313,2.860999302356504e-06,5.451999641081784e-06
8,7.2019300068859594e-06,0.0004579410006044782,2.7629994292510673e-06,5.779999810329173e-06
9,6.7801899785990824e-06,7.08799998392351e-05,2.91600008495152e-06,6.037999810359906e-06
10,2.6912205003100096e-05,0.0034392759998809197,6.555000254593324e-06,8.863999937602784e-06
11,9.097410043068521e-06,9.7479000032763e-05,3.34899959852919e-06,9.094000233744737e-06
12,0.0011101506549903205,0.21993024299990793,2.629999471537303e-06,5.683999916072935e-06
13,1.0439120055707462e-05,0.00037854699985473417,3.256000127294101e-06,9.051000233739614e-06
14,1.699766000001546e-05,0.002238719000160927,3.283999831182882e-06,5.6859998949221335e-06
15,1.537309506602469e-05,0.0011322350001137238,3.6139999792794697e-06,8.90299997990951e-06
16,5.8764350023921e-06,7.384999662463088e-06,2.861999746528454e-06,5.934999535384122e-06
17,0.000672937895042196,0.13223598900003708,3.201999788871035e-06,5.957999746897258e-06
18,9.949634950316977e-06,5.217499983700691e-05,5.0450007620383985e-06,6.055000085325446e-06
19,1.0288845005561598e-05,0.0005109220001031645,5.058000169810839e-06,5.661999239237048e-06
20,2.6294089971088396e-05,0.003836277000118571,4.634999640984461e-06,6.007000592944678e-06
